LPS,MechanicalStiffness,MechanicalStretch,BioelectricDepolarization,Caerulein,TGFbeta,Factin,Piezo1,CaMKII,PKD,ARID1A,mTORC1,Autophagy,SLC5A8,Butyrate,NFkB,PU1,YAP_TAZ,TEAD,Smad3,MyoD,Oct4,AP1,MEF2,Sox9,HDAC4,HDAC5,HDAC1_3,SWI_SNF,LatentEnhancer,H3K4me1,H3K27ac,inhba_RRE,Paligenosis,Metaplasia,Blastema,InnateMemory,Fibrosis,Hypertrophy,Regeneration,Pluripotency,MyogenicDiff,ADM,label,dataset,pathway,assay
0.0,0.0,0.0,0.0,1.0,0.0,0.6470348623319502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2794109149643892,0.0,0.1845248967151549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ADM,gse172380_adm,ADM_pancreas,scRNA
0.0,0.0,0.0,0.0,1.0,0.0,0.6175302443889631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5258367608519467,0.0,0.0,0.0,0.0,0.0,0.0,0.577844857800552,0.0,0.0,0.3361801627536071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ADM,gse172380_adm,ADM_pancreas,scRNA
0.0,0.0,0.0,0.0,1.0,0.0,0.5657178678505845,0.1046724447820978,0.1189671992329075,0.0,0.1759029536482462,0.0,0.0,0.0,0.0,0.0,0.0,0.2125695818846404,0.0,0.0,0.0,0.0,0.5096519633468943,0.0,0.4812218215585752,0.1173774990035635,0.0,0.0,0.1796928198486918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ADM,gse172380_adm,ADM_pancreas,scRNA
0.0,0.0,0.0,0.0,1.0,0.0,0.4686824708704891,0.0,0.0,0.0,0.144762285163429,0.0,0.0,0.0,0.0,0.0,0.0,0.1749377016794737,0.1490067097677956,0.0,0.0,0.0,0.1908587394779732,0.0,0.8366027588073536,0.1716577059213032,0.1556394468262243,0.0,0.1478812190997929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ADM,gse172380_adm,ADM_pancreas,scRNA
0.0,0.0,0.0,0.0,1.0,0.0,0.4065932678607158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8997443671494679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8883585156225372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ADM,gse172380_adm,ADM_pancreas,scRNA
0.0,0.0,0.0,0.0,1.0,0.0,0.2894021911007287,0.0,0.2953727197778332,0.0,0.3242171420391167,0.0,0.0,0.0,0.0,0.0,0.0,0.1742734541187175,0.0,0.0,0.0,0.0,0.1902831720997026,0.0,0.6542947644502582,0.0,0.1550484757438376,0.1720681036368162,0.2510601096492529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ADM,gse172380_adm,ADM_pancreas,scRNA
0.0,0.0,0.0,0.0,1.0,0.0,0.2970943531674678,0.0,0.4028505404340661,0.0,0.1504028743206969,0.3220779710873942,0.0,0.0,0.0,0.3402392869757105,0.0,0.181754060665356,0.4684448059766146,0.0,0.0,0.0,0.5599386231042706,0.0,0.7123618697637274,0.1783462615329259,0.0,0.0,0.1536433359389692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ADM,gse172380_adm,ADM_pancreas,scRNA
0.0,0.0,0.0,0.0,1.0,0.0,0.4738319806453061,0.2965924322995769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2887055084811427,0.659507343604901,0.0,0.0,0.4348816862422129,0.0,0.576269249671776,0.0,0.0,0.3346584497818711,0.4428337548145059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ADM,gse172380_adm,ADM_pancreas,scRNA
0.0,0.0,0.0,0.0,1.0,0.0,0.4591690704788786,0.0,0.0794998792161204,0.0,0.121677164092347,0.0,0.0,0.0,0.0,0.1235093533672768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4756519989005483,0.0784375613920683,0.0,0.0,0.3493960021142842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ADM,gse172380_adm,ADM_pancreas,scRNA
0.0,0.0,0.0,0.0,1.0,0.0,0.6122677932830596,0.0,0.2794323311774393,0.0,0.2030503723369615,0.0,0.0,0.0,0.0,0.0972933139063181,0.0,0.061903965517524,0.139350503116483,0.1172150012973277,0.0,0.0,0.5794652975119263,0.0,0.5865386714085993,0.1605336277891882,0.0550750287502353,0.2038669480713892,0.0979151332676955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ADM,gse172380_adm,ADM_pancreas,scRNA
